,,,,,,,,,,,,,,,,,,,,
,,,Church-building in late antiquity,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,how do we know about it?,,,
Type,"Name, anglicized",Name of modern structure on top,"place, modern",Imperial patron?," Date, AD",Date_low,Date_high,Date_av (rounded to whole number),comments on dates,source,lat,long,source for location,location notes,general notes,zotero,still standing,archaeology,primary written source,primary visual source
House-church,anageion,none,Rome,no,50,45,100,73,"date is as exact as we know it, date_low is lowest reasonable archaelogical guess for construction of structure. Date_high highest reasonable guess for construction",New Testament,,,,,anageion is the upper floor and dining room of a typical Mediterranean house,,,,NT,
House-church,anageion,none,Ephesus,no,50,45,100,73,"date is as exact as we know it, date_low is lowest reasonable archaelogical guess for construction of structure. Date_high highest reasonable guess for construction",New Testament,,,,,anageion is the upper floor and dining room of a typical Mediterranean house,,,,NT,
House-church,anageion,none,Athens,no,50,45,100,73,"date is as exact as we know it, date_low is lowest reasonable archaelogical guess for construction of structure. Date_high highest reasonable guess for construction",New Testament,,,,,anageion is the upper floor and dining room of a typical Mediterranean house,,,,NT,
House-church,anageion,none,Corinth,no,50,45,100,73,"date is as exact as we know it, date_low is lowest reasonable archaelogical guess for construction of structure. Date_high highest reasonable guess for construction",New Testament,,,,,anageion is the upper floor and dining room of a typical Mediterranean house,,,,NT,
Expanded House-church,community house,none,Dura-Europos,no,230,220,250,235,"date is as exact as we know it, date_low is lowest reasonable archaelogical guess for construction of structure. Date_high highest reasonable guess for construction",Krautheimer p. 6,,,,,,,,x,,
Expanded House-church,community house,none,North Africa,no,303,303,303,303,date is exact from primary source,"Monumenta ad Vetera ad Donatistarum historiam pertinentia, col. 231, in Krautheimer p. 6",,,,,,,,,"Monumenta ad Vetera ad Donatistarum hisoriam pertinentia, col. 231,",
Titulus church,Titulus Byzantis,SS Giovanni e Paulo,Rome,no,230,220,250,235,"date is as exact as we know it, date_low is lowest reasonable archaelogical guess for construction of structure. Date_high highest reasonable guess for construction",Krautheimer p. 8,,,,,,,,,,
Martyrium,confessio,SS Giovanni e Paulo,Rome,no,350,300,400,350,"date is as exact as we know it, date_low is lowest reasonable archaelogical guess for construction of structure. Date_high highest reasonable guess for construction",date is archaeological,,,,,,,,,,
Basilica Church,SS Giovanni e Paulo,SS Giovanni e Paulo,Rome,check,430,400,450,425,date is archaeological,Krautheimer p. 32,',',,,,,,,,
Titulus church,Titulus Clementiae,S. Clemente,Rome,no,300,200,380,290,date is archaeological,Krautheimer p. 32,,,,,,,,,,
Basilica Church,S. Clemente,S. Clemente,Rome,check,400,380,450,415,date is archaeological,Krautheimer p. 32,',',,,,,,,,
Martyrium,tomb of st. peter,tomb of st. peter,Rome,no,160,120,180,150,date from brickstamp,Krautheimer p. 12,,,,,controversial archaeology,,,,,
Martyrium Basilica Church,S. Peter,S. Peter,Rome,no,400,337,400,369,date gives range from start under Constantine to final completion ca. 400 AD,"Krautheimer p. 12, 33-34",',',,,,,,,,
Mausoleum,Mausoleum to Honorian dynasty,S Peter,"Rome, Vatican City",check,400,390,410,400,date given by archaeological context,"Krautheimer, p. 42",,,,,,,,x,,
Martyrium,Calixtus Catacomb,"""Chapel of the Popes""",Rome,no,250,207,314,261,date is deduced from context,Krautheimer p. 12,,,,,,,,,,
